Name,symbol,address,owner,decimals,coingecko,logo
ZB Token,ZB,https://etherscan.io/address/0xbd0793332e9fb844a52a205a233ef27a5b34b927,0x52eca3e250aba44636410fb73b55d052cae4182a,18,https://www.coingecko.com/en/coins/zb-token,https://ethplorer.io/images/ZBbd079333.png
ARPA Chain,ARPA,https://etherscan.io/address/0xba50933c268f567bdc86e1ac131be072c6b0b71a,0xb29306da849201c350cefaa4cfd891f80d23bdba,18,https://www.coingecko.com/en/coins/arpa-chain,https://ethplorer.io/images/ARPAba50933c.jpg
TenX,PAY,https://etherscan.io/address/0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x839ea851397707c4e44bc06f68a540d388298c3d,18,https://www.coingecko.com/en/coins/tenx,https://ethplorer.io/images/PAYb9704862.png
bZx Protocol,BZRX,https://etherscan.io/address/0x56d811088235f11c8920698a204a5010a788f4b3,0x,18,https://www.coingecko.com/en/coins/bzx-protocol,https://ethplorer.io/images/bzrx.png
Uquid Coin,UQC,https://etherscan.io/address/0xd01db73e047855efb414e6202098c4be4cd2423b,0x,18,https://www.coingecko.com/en/coins/uquid-coin,https://ethplorer.io/images/UQCd01db73e.png
Golff,GOF,https://etherscan.io/address/0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c,0x,18,https://www.coingecko.com/en/coins/golff,https://ethplorer.io/images/GOF488e0369.jpg
aelf,ELF,https://etherscan.io/address/0xbf2179859fc6d5bee9bf9158632dc51678a4100e,0x64aba00510fec9a0fe4b236648879f35030b7d9b,18,https://www.coingecko.com/en/coins/aelf,https://ethplorer.io/images/ELFbf217985.png
Origin Protocol,OGN,https://etherscan.io/address/0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0xe011fa2a6df98c69383457d87a056ed0103aa352,18,https://www.coingecko.com/en/coins/origin-protocol,https://ethplorer.io/images/OGN8207c1ff.jpg
Akropolis,AKRO,https://etherscan.io/address/0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x4b2a429b97a3022ae32c77ebdbdfb8ba08dd5254,18,https://www.coingecko.com/en/coins/akropolis,https://ethplorer.io/images/akro.png
Kuai Token,KT,https://etherscan.io/address/0x26ddf6cabadcbf4f013841bd8d914830beb0d984,0x951ab1d8dfd1d22504383aef9f808f7aaeddc1f5,8,https://www.coingecko.com/en/coins/kuaitoken,https://ethplorer.io/images/KT26ddf6ca.png
Ripio Credit Network,RCN,https://etherscan.io/address/0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0xf8d81eb6c765397ecfadc3b396715267bb41f241,18,https://www.coingecko.com/en/coins/ripio-credit-network,https://ethplorer.io/images/RCNf970b8e3.png
Elamachain,ELAMA,https://etherscan.io/address/0xfb444c1f2b718ddfc385cb8fd9f2d1d776b24668,0xabebf31ff5fe002408aebd56227eaea3afc5e22a,18,https://www.coingecko.com/en/coins/elamachain,https://ethplorer.io/images/ELAMAfb444c1f.png
Amun Bitcoin 3x Daily Short,BTC3S,https://etherscan.io/address/0x1148661869d30e095ff4aa48aa8b5eadedc75f2a,0x786ea62bc54613c3639a6275f88d3b86ce3a0d45,18,https://www.coingecko.com/en/coins/amun-bitcoin-3x-daily-short,https://ethplorer.io/images/BTC3S11486618.png
MANTRA DAO,OM,https://etherscan.io/address/0x2baecdf43734f22fd5c152db08e3c27233f0c7d2,0x,18,https://www.coingecko.com/en/coins/mantra-dao,https://ethplorer.io/images/OM2baecdf4.png
